algorithm,seed,success,best_fitness,path_length,cpu_time_seconds,waypoint_count,minimum_clearance,smoothness,collision_count,safety_violation_count,iterations,evaluations
ACO,42,True,133.6286954414165,131.50066196605246,18.09375,3,3.0571759948220905,0.42560669507281024,0,0,200,16080
GA,42,True,133.85821465804946,132.34891346970605,4.421875,5,3.017473039435462,0.301860237668684,0,0,200,16080
GWO,42,True,157.29188736611266,150.50865503857443,4.109375,5,4.344879639721247,1.356646465507644,0,0,200,16080
PSO,42,True,132.32617044563816,130.8271472166094,4.109375,5,3.0042700019782878,0.29980464580574906,0,0,200,16080
